pt1_X,pt1_Y,pt2_X,pt2_Y,pt3_X,pt3_Y,pt4_X,pt4_Y,pt5_X,pt5_Y
747.190000,892.800000,805.040000,893.980000,923.697201,913.166530,962.516182,913.300371,991.336823,906.373697
748.000000,894.030000,806.060000,892.990000,924.264200,912.219965,963.670533,916.961881,990.884142,912.419457
748.760000,895.210000,806.930000,892.080000,924.642198,910.800117,963.901403,919.467125,990.884142,913.175177
749.450000,896.520000,807.620000,891.630000,924.642198,910.011312,963.901403,919.659836,990.884142,915.820197
749.760000,898.040000,807.890000,891.480000,925.020197,909.538030,962.977922,920.430680,989.526100,920.732377
749.970000,899.430000,807.880000,891.740000,925.965194,907.960421,962.516182,920.623391,989.073419,922.243817
750.120000,900.920000,807.570000,892.210000,926.532193,906.698334,962.285312,920.816102,987.262696,925.266697
750.310000,902.060000,808.685321,893.710679,926.532193,906.067290,961.130961,921.008814,986.357335,926.400277
750.500000,903.210000,809.050000,894.510000,926.721192,903.227594,960.438351,921.008814,984.999292,926.400277
751.000000,904.520000,809.670000,894.950000,926.910191,899.283572,960.438351,919.659836,984.093931,926.022417
751.110000,905.460000,809.800000,895.420000,926.721192,896.917158,961.592701,917.540014,984.093931,925.266697
751.120000,906.220000,809.810000,896.110000,926.532193,893.919701,963.439663,915.034770,984.093931,918.843077
751.110000,906.660000,809.890000,896.950000,929.367184,891.395527,963.670533,914.263926,984.546611,915.820197
751.120000,907.200000,809.920000,897.740000,931.950000,889.390000,965.979234,910.795127,985.451973,913.930897
751.090000,907.570000,809.970000,898.320000,933.940000,887.430000,965.979234,905.977350,986.357335,912.419457
751.050000,907.660000,810.000000,898.980000,935.900000,885.350000,966.210104,903.086684,986.357335,911.285877
750.940000,907.650000,809.980000,899.630000,937.890000,882.840000,966.902715,899.232462,987.262696,907.507277
750.820000,907.560000,810.010000,900.130000,939.880000,880.270000,966.902715,895.570952,988.620738,903.728677
750.640000,907.030000,809.950000,900.590000,931.523177,880.790489,967.133585,892.487575,990.884142,895.037896
749.940000,906.630000,809.810000,900.950000,931.980000,880.250000,968.749676,888.826064,991.336823,892.015016
749.040000,906.100000,809.580000,901.140000,932.080000,880.270000,960.281270,876.802109,991.789504,889.369996
748.270000,905.730000,808.870000,901.410000,932.370000,880.160000,960.605565,872.922158,991.789504,887.480696
747.780000,904.970000,808.060000,901.820000,932.310000,880.180000,960.605565,872.290538,991.789504,885.969256
747.170000,904.130000,807.270000,902.130000,927.043191,880.790489,960.821762,869.764058,991.789504,881.812796
746.910000,903.510000,806.330000,902.640000,926.130000,882.170000,961.146057,869.042206,987.715377,868.587696
746.620000,902.880000,805.580000,903.090000,923.907201,885.277910,961.254155,867.057115,987.262696,867.076256
745.930000,902.120000,805.100000,903.420000,924.355199,886.399765,959.416484,869.312901,986.357335,865.942676
