eye_X,eye_Y,eye_Z,snout_X,snout_Y,snout_Z,peduncle_X,peduncle_Y,peduncle_Z,dorsaltip_X,dorsaltip_Y,dorsaltip_Z,analtip_X,analtip_Y,analtip_Z,caudaltip_X,caudaltip_Y,caudaltip_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z
0.498364,5.506133,4.687557,0.207041,6.117855,4.925398,7.270861,4.935012,1.795835,7.297064,4.602112,2.419432,7.735,5.405312,1.368512,8.547993,6.277973,1.996976,0.561216,4.842728,2.813795,1.140941,5.298594,3.728519,1.244859,5.901946,3.747777,1.871318,5.590338,3.010111,5.685794,4.44315,1.36923,5.105221,4.419122,1.746283,5.726827,4.851681,1.36321,5.135104,4.66125,1.764468
0.4973,5.50599,4.691695,0.206861,6.096063,4.924542,7.255432,4.909385,1.776622,7.284607,4.591152,2.406297,7.736463,5.38352,1.367334,8.548064,6.279713,1.988111,0.646638,4.855216,2.88728,1.141209,5.298334,3.73372,1.268929,5.920366,3.796966,1.858643,5.564621,3.062059,5.685706,4.443785,1.353155,5.09946,4.419845,1.729923,5.719487,4.828876,1.351185,5.129537,4.661333,1.764116
0.496584,5.505882,4.694696,0.206861,6.096063,4.924542,7.25158,4.909849,1.766436,7.280713,4.591379,2.401174,7.718104,5.371933,1.366639,8.54837,6.279825,1.972495,0.701982,4.854931,2.937496,1.141209,5.298334,3.73372,1.288642,5.918525,3.813859,1.859567,5.563511,3.082974,5.685618,4.44442,1.337076,5.090969,4.420408,1.718729,5.698705,4.817502,1.345276,5.126694,4.661599,1.758616
0.495021,5.505705,4.700107,0.206771,6.085167,4.924114,7.255691,4.910521,1.751566,7.272897,4.59173,2.393417,7.712688,5.369407,1.365373,8.551677,6.281178,1.959357,0.723348,4.874955,3.001664,1.141837,5.320031,3.745222,1.294349,5.929052,3.81997,1.891087,5.562523,3.117765,5.679903,4.445335,1.3153,5.074764,4.42114,1.702516,5.682591,4.818047,1.334394,5.118343,4.661727,1.758091
0.494542,5.505465,4.705523,0.206771,6.085167,4.924114,7.252156,4.905804,1.744846,7.266423,4.592181,2.38322,7.709859,5.36385,1.36502,8.556328,6.281758,1.954904,0.814901,4.87991,3.02468,1.141882,5.331138,3.745772,1.294349,5.929052,3.81997,1.952955,5.606799,3.163754,5.671418,4.446074,1.298714,5.048174,4.421668,1.691791,5.66025,4.818563,1.327771,5.107209,4.661901,1.757397
0.488306,5.505063,4.710572,0.206771,6.085167,4.924114,7.249674,4.901272,1.741788,7.256179,4.592238,2.383311,7.707759,5.356415,1.36452,8.538249,6.217977,1.946917,0.862349,4.912561,3.002829,1.142286,5.364195,3.75262,1.286945,5.928766,3.820417,1.985323,5.649517,3.22188,5.652633,4.435196,1.281435,5.037895,4.410109,1.691171,5.635148,4.818904,1.326357,5.101642,4.66199,1.757052
0.481328,5.504793,4.713823,0.191925,6.084365,4.940236,7.266344,4.910951,1.741984,7.21764,4.557804,2.382148,7.697937,5.37197,1.36616,8.526803,6.169424,1.939762,0.912741,4.944902,2.971784,1.142286,5.364195,3.75262,1.286983,5.939858,3.820962,1.988011,5.727323,3.255574,5.626404,4.412237,1.274353,5.032185,4.410627,1.680138,5.6114,4.818958,1.326428,5.075923,4.66189,1.757874
0.468609,5.504374,4.716419,0.188978,6.073648,4.939593,7.266344,4.910951,1.741984,7.186196,4.529272,2.381291,7.694807,5.371977,1.365811,8.512336,6.11956,1.941313,0.946907,4.955599,2.958302,1.142867,5.374772,3.76356,1.286983,5.939858,3.820962,1.962978,5.916771,3.281469,5.620804,4.412312,1.274022,5.023748,4.410988,1.674279,5.6114,4.818958,1.326428,5.067573,4.662024,1.757351
0.466553,5.488769,4.718474,0.174226,6.05116,4.939706,7.245733,4.911048,1.742166,7.21764,4.557804,2.382148,7.690996,5.365895,1.364953,8.498687,6.066758,1.96251,0.845099,4.90645,2.943726,1.142958,5.39698,3.764658,1.287061,5.962042,3.82205,1.963069,6.062252,3.289291,5.613107,4.412296,1.274316,5.020956,4.411039,1.674108,5.60371,4.818925,1.3267,5.067573,4.662024,1.757351
0.465448,5.488612,4.722972,0.174134,6.040266,4.93928,7.242612,4.911078,1.741508,7.21764,4.557804,2.382148,7.689723,5.37195,1.365988,8.540612,6.1456,1.986157,0.817152,4.948639,2.902965,1.143271,5.407817,3.770399,1.290023,5.961609,3.827413,1.964675,6.138387,3.329775,5.607507,4.412371,1.273985,5.013303,4.410992,1.674428,5.596212,4.807267,1.326157,5.067573,4.662024,1.757351
